timestamp,env,confidence,volume
2026-06-14T13:46:41.912154+00:00,unknown,1.00,0.71
2026-06-14T13:47:33.043591+00:00,silent,0.90,0.00
2026-06-14T13:48:05.162503+00:00,unknown,1.00,0.00
2026-06-14T13:48:08.199677+00:00,silent,0.99,0.00
2026-06-14T13:48:19.144381+00:00,unknown,1.00,0.00
2026-06-14T13:48:26.119518+00:00,silent,1.00,0.00
2026-06-14T13:48:35.153001+00:00,unknown,0.08,0.00
2026-06-14T13:48:39.151034+00:00,silent,0.37,0.00
2026-06-14T13:48:51.121926+00:00,unknown,0.59,0.00
2026-06-14T13:48:54.149801+00:00,silent,0.98,0.00
2026-06-14T13:49:26.339956+00:00,silent,0.66,0.00
2026-06-14T13:50:51.156557+00:00,unknown,0.96,0.00
2026-06-14T13:54:35.655026+00:00,unknown,1.00,0.05
2026-06-14T13:54:42.756165+00:00,silent,0.98,0.00
2026-06-14T13:54:46.652965+00:00,unknown,0.67,0.00
2026-06-14T13:55:18.701545+00:00,unknown,1.00,0.00
2026-06-14T13:55:32.719887+00:00,silent,0.72,0.00
2026-06-14T13:55:36.688474+00:00,unknown,1.00,0.00
2026-06-14T13:55:44.696452+00:00,silent,0.39,0.00
2026-06-14T13:55:53.694107+00:00,unknown,0.89,0.00
2026-06-14T14:09:57.326714+00:00,unknown,1.00,0.51
2026-06-14T14:15:43.207133+00:00,silent,0.73,0.00
2026-06-14T14:16:03.192457+00:00,unknown,1.00,0.00
2026-06-14T14:16:45.216680+00:00,silent,0.97,0.00
2026-06-14T14:16:50.198098+00:00,unknown,1.00,0.00
2026-06-14T14:23:00.387001+00:00,unknown,1.00,0.00
2026-06-14T14:25:34.800230+00:00,silent,0.96,0.00
2026-06-14T14:31:51.462273+00:00,silent,0.81,0.00
2026-06-14T14:32:44.465409+00:00,unknown,1.00,0.00
2026-06-14T14:34:07.463049+00:00,silent,1.00,0.00
2026-06-14T14:34:27.460975+00:00,unknown,0.12,0.00
2026-06-14T14:34:59.468822+00:00,silent,0.99,0.00
2026-06-14T14:36:38.462170+00:00,unknown,0.50,0.00
2026-06-14T14:36:41.471667+00:00,silent,0.95,0.00
2026-06-14T14:37:25.470136+00:00,unknown,0.98,0.00
2026-06-14T14:37:48.444362+00:00,silent,0.81,0.00
2026-06-14T14:40:16.483891+00:00,unknown,1.00,0.00
2026-06-14T14:42:14.932035+00:00,unknown,1.00,0.00
2026-06-14T16:43:33.328157+00:00,unknown,1.00,0.70
2026-06-14T16:43:43.119657+00:00,silent,0.40,0.00
2026-06-14T16:43:45.343850+00:00,unknown,1.00,0.00
2026-06-14T16:44:04.892960+00:00,silent,0.66,0.00
2026-06-14T16:44:07.313233+00:00,unknown,1.00,0.00
2026-06-14T17:01:11.985363+00:00,home,0.65,0.65
2026-06-14T17:01:28.203613+00:00,silent,0.63,0.30
2026-06-14T17:06:02.635229+00:00,home,0.99,0.65
2026-06-14T17:25:13.101875+00:00,silent,1.00,0.30
2026-06-14T17:27:42.427144+00:00,home,0.90,0.65
2026-06-14T17:27:45.430547+00:00,silent,1.00,0.30
2026-06-14T17:30:46.374892+00:00,silent,1.00,0.30
2026-06-14T17:38:20.154441+00:00,silent,1.00,0.30
2026-06-14T17:38:29.755831+00:00,crowded,1.00,0.90
2026-06-14T17:38:34.782699+00:00,silent,1.00,0.30
2026-06-14T17:38:46.750179+00:00,crowded,1.00,0.90
2026-06-14T17:38:51.760990+00:00,silent,1.00,0.30
2026-06-14T17:38:57.775078+00:00,crowded,1.00,0.90
2026-06-14T17:39:01.771545+00:00,silent,1.00,0.30
2026-06-14T17:39:08.506707+00:00,home,1.00,0.65
2026-06-14T17:39:40.449874+00:00,crowded,1.00,0.90
2026-06-14T17:39:52.399788+00:00,home,0.80,0.65
2026-06-14T17:40:01.454717+00:00,crowded,1.00,0.90
2026-06-14T17:40:06.424432+00:00,home,1.00,0.65
2026-06-14T17:40:10.453270+00:00,crowded,1.00,0.90
2026-06-14T17:40:37.776765+00:00,silent,1.00,0.30
2026-06-14T17:40:46.769705+00:00,crowded,1.00,0.90
2026-06-14T17:40:51.414697+00:00,home,0.52,0.65
2026-06-14T17:41:08.475474+00:00,crowded,1.00,0.90
2026-06-14T17:41:14.786973+00:00,silent,1.00,0.30
